"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"b0110" 112.242151819577 0.109176692842375 0.197647607466388 0.552380543543599 0.580687657993431 0.76200046067183
"b0111" 317.094615629719 0.0744288171779413 0.138204948376057 0.538539452114403 0.59020467578889 0.768835129810886
"b0112" 2991.67397978912 -0.066221432530768 0.105453840389068 -0.627966058765109 0.530026174772556 0.723744208639053
"b0113" 508.906838039746 -0.182598185906037 0.358444469481807 -0.509418337992532 0.610459025175025 0.780343203446912
"b0114" 15572.1749056729 0.468846316556818 0.114780555333882 4.08471901179606 4.41301860095874e-05 0.000312343649867857
"b0115" 8128.55257835613 0.435074707577073 0.11065252060457 3.93190055861326 8.42769283931729e-05 0.000559212535275533
"b0116" 11210.0026449455 -0.405947065849493 0.0940358105624458 -4.31694121017777 1.58206273232845e-05 0.000125449040725297
"b0117" 62.2916023486182 0.047458750572648 0.244023036821168 0.194484714192899 0.845796363527823 0.921434168747016
"b0118" 10817.6021637951 -0.553216672951747 0.136513101330738 -4.05248044003803 5.06774620996978e-05 0.000352803752541065
"b0119" 184.062314613474 -0.114267840903848 0.159120083263701 -0.71812331014482 0.47268125855988 0.675751872915505
"b0120" 1453.6958086237 -0.233546305173496 0.108633861183386 -2.14984814706387 0.0315672283230204 0.0941092142281834
"b0121" 1229.6902933955 -0.267850893572463 0.113873679437711 -2.35217562912751 0.0186639602032494 0.0619753743673495
"b0122" 226.987853619656 0.304367097512976 0.159372342365828 1.90978618369253 0.0561607489305155 0.149579360566153
"b0123" 258.722517220434 -0.600133524614949 0.17627383483844 -3.40455249734023 0.000662725603714903 0.00361848179628337
"b0124" 1567.58122534549 -1.59451096934317 0.105485069588784 -15.1159872725031 1.27052502003657e-51 6.0699332832247e-49
"b0125" 354.921009047673 -0.079872650131267 0.138994720715657 -0.574645207530316 0.565531271131882 0.751851471503927
"b0126" 2742.7683377606 0.0573927237411775 0.0932403041233735 0.615535569953061 0.538201086266932 0.731249396271673
"b0127" 335.170979533519 -0.215521883810233 0.149333100239729 -1.44322915324365 0.148955929643382 0.305423908548335
"b0128" 184.569252164857 0.0306303122759792 0.159323431110266 0.192252401687108 0.847544500780795 0.921584801188746
"b0129" 78.3955487479894 0.40896841205691 0.231606736318453 1.76578807057922 0.0774314106338312 0.191301132154171
"b0130" 129.574676816102 0.32894874027831 0.180287569379607 1.82457804168233 0.0680647295404683 0.174358844707554
"b0131" 897.195676404248 0.122573410891202 0.114854281395208 1.06720802570201 0.285877909231008 0.475674953888076
"b0132" 73.5112971781244 0.129764149360436 0.226195531294378 0.573681312879504 0.566183476113805 0.751851471503927
"b0133" 1657.84409939892 0.456092893449388 0.110472927063807 4.12854900808373 3.65059637086024e-05 0.000264754825985348
"b0134" 972.790261331595 0.348472984288673 0.111073262086582 3.13732556100709 0.00170496694546112 0.00814547958194052
"b0135" 24.5043935435418 -0.365279664434196 0.372204484336507 -0.981395119635233 0.326397931903398 0.523496808952911
"b0136" 9.43332598805231 0.645951873092844 0.631313241480207 1.02318758842807 0.306219160125591 0.5001553137023
"b0137" 15.8696941808956 -0.262330312982281 0.45652242864021 -0.574627436736576 0.565543292208627 0.751851471503927
"b0138" 10.9348555143156 -0.16490653779475 0.58203262382405 -0.283328684758745 0.776924890510878 0.888542188084815
"b0139" 20.547687232558 -0.296448363822033 0.403802343833209 -0.734142256352233 0.462862041960613 0.665810585010712
"b0140" 4.10325917962237 -0.012920457670316 0.894254276383758 -0.0144483040355865 0.988472322355437 NA
"b0141" 2.61557743106718 -0.742517022249251 1.13064205359491 -0.656721567969627 0.511359963683536 NA
"b0142" 190.636471314342 0.0357936924181911 0.157241997344973 0.22763442987603 0.81993045137947 0.910451535494577
"b0143" 1601.61776331654 -0.0926983701061892 0.107886665499761 -0.859219901521513 0.390219205489237 0.592472478914871
"b0144" 96.451166149067 -0.583554488618234 0.212269856518026 -2.74911614013683 0.00597562088957355 0.0239400660796123
"b0145" 1221.13974837582 -0.625227817599103 0.112443398350258 -5.56037817045992 2.6919071033293e-08 3.4409595146905e-07
"b0146" 349.044810817515 -0.53200273035791 0.143154083284947 -3.71629448598377 0.000202165937816795 0.00125028837271163
"b0147" 76.1610831951246 0.158736594887414 0.236117363792659 0.67227836334309 0.501406501402405 0.699662522219786
"b0148" 321.437169120862 0.402363047291757 0.130035969793568 3.09424421512376 0.00197314993840669 0.0093449554703722
"b0149" 729.470728488946 0.117416963689761 0.106292975059316 1.10465403404352 0.269309527995871 0.456250450354706
"b0150" 4114.41145131697 -0.338309322026748 0.100332231745837 -3.37189072883135 0.000746540611044905 0.00400179272849036
"b0151" 576.17298497975 -0.284505265900474 0.122522182747404 -2.32207147735052 0.0202290872035178 0.066194838434799
"b0152" 315.832690006493 -0.320744001087577 0.139910819470439 -2.2924889032999 0.0218774471506058 0.0702062157931279
"b0153" 523.134454112676 -0.365454850287632 0.12924921142873 -2.82752092835126 0.00469099490690553 0.019488024493688
"b0154" 1428.11298806841 0.418483817494405 0.0998129620855601 4.19268007631793 2.7567809276572e-05 0.000204543541175792
"b0155" 268.936438270539 0.0277601897956193 0.136522138368336 0.203338375207122 0.838870562920581 0.91893473530595
"b4728" 18.9422005287598 0.423235009216275 0.415748698772324 1.01800681629566 0.308674716770069 0.503523161542981
"b0156" 397.93452639994 -0.0455537195269678 0.129512510867197 -0.351732193453332 0.725039114541491 0.852383726784859
"b0157" 99.498377991403 0.202913806982302 0.208308334480137 0.974103160532211 0.330005320419122 0.525971782586274
"b0158" 223.77302545593 0.200753844369918 0.151215535436649 1.32760065816137 0.184310067012101 0.353099286275815
"b0159" 732.586734396095 0.156692884624179 0.112920295279949 1.38764147078885 0.165246246700151 0.327238940356465
"b0160" 272.769348284458 -0.0336883595636732 0.145783933757399 -0.231084171591462 0.81724941160103 0.908530323193466
"b0161" 1247.87201165353 0.407486091127444 0.119239494014305 3.41737521192903 0.000632280726361661 0.00347708911676873
"b0162" 68.5938833454134 0.485840052380142 0.242518082829126 2.00331474961583 0.0451435153185339 0.12630930859988
"b0163" 481.901074489872 -0.301997526988134 0.148034222115781 -2.04005210870723 0.0413451359716042 0.117662777128422
"b0164" 79.929916213288 0.416986139091352 0.22468496563234 1.85587023109362 0.0634720570493997 0.164356505449055
"b0166" 3275.04895207903 -0.0821704957350099 0.0933938024135002 -0.879828142891119 0.378952416391447 0.578416987000044
"b0167" 1038.35229400235 0.23361207939932 0.100873932469019 2.31588155315613 0.0205647367892274 0.0668160142216669
"b0168" 1182.37564098848 -0.197915356384384 0.0978138578870489 -2.02338769433804 0.0430331919020345 0.121651523261521
"b0169" 9691.20032403441 -0.513759448498211 0.0874934853346385 -5.87197374219603 4.3063696474015e-09 6.30610911585002e-08
"b0170" 3833.62134718822 -0.462635642364543 0.0979880522152661 -4.72134746946696 2.34287296148018e-06 2.16291315429402e-05
"b0171" 1095.54308515894 0.180180355014316 0.106975297955209 1.68431739343935 0.0921203457031952 0.216267789482563
"b0172" 2436.74535541299 -0.0337721252090683 0.105011854904318 -0.321602977490874 0.747753487875249 0.869346595285491
"b0173" 359.373649507361 0.144831244817725 0.130338223412499 1.11119548069455 0.266484216110402 0.45341942091592
"b0174" 550.330499417644 -0.62693120826944 0.115869569792339 -5.4106631222764 6.27917963583767e-08 7.54686307175207e-07
"b0175" 421.294009729163 -0.34862727939637 0.121943423443495 -2.85892645582412 0.00425077321479326 0.0179717425076768
"b0176" 1184.11387008642 -0.219915998199525 0.0978223459053346 -2.24811617595374 0.0245687828705542 0.0769687607633264
"b0177" 5164.8240100106 -0.27764388279721 0.0912583106470785 -3.04239560023127 0.00234703216242225 0.010768735804055
"b0178" 1903.55775730027 -0.304609766442088 0.101373039480516 -3.00484002455736 0.00265720567591703 0.011934007160229
"b0179" 3288.64612987548 -0.295533975235278 0.0894974251212708 -3.30215059075525 0.00095946543763147 0.00498244144378733
"b0180" 944.81183461469 -0.15350417440776 0.105117882623984 -1.46030504587747 0.144206255901755 0.298729707347701
"b0181" 1364.82023028358 -0.119633612074695 0.103416558830783 -1.15681292654929 0.247348799398158 0.432272449396993
"b0182" 641.014798230931 -0.15821374699222 0.111265195802065 -1.42195181387784 0.155040239951606 0.313649692434404
"b0183" 232.395587428521 -0.362643433388029 0.17093420395628 -2.12153814154586 0.0338765417257448 0.0999044309226825
"b0184" 1072.3778685188 -0.474765106292183 0.100498591420152 -4.72409712000183 2.31139943367415e-06 2.13902388268828e-05
"b0185" 1236.82397195633 -0.205332002763494 0.102107148712092 -2.01094639653941 0.0443311189353795 0.124400540801043
"b0186" 212.984799453699 -0.542942172049378 0.151230475102758 -3.59016376613549 0.000330470268781833 0.00193423792845967
"b0187" 69.7387229804924 -0.390713620319298 0.241981818889136 -1.61464039783213 0.106388591669977 0.238765236266972
"b0188" 356.447129178581 -0.0798187016276473 0.136306218933052 -0.585583711824997 0.55815529673429 0.74571941250876
"b0189" 155.805097713983 -0.186619189374701 0.174947883099979 -1.06671304658229 0.286101433911499 0.475839721675261
"b4406" 116.54432016572 -0.547358326911122 0.206760450664636 -2.64730670276461 0.00811357296433895 0.0311346143270115
"b0190" 109.357348008241 0.367110546767333 0.194750817575223 1.88502698647483 0.0594261944559357 0.155353567175504
"b0191" 86.3274739699843 -0.0203037281576326 0.218553484326844 -0.0929005008552901 0.925982607844862 0.964317399984145
"b0192" 189.571934476598 0.209581862785816 0.170122668035682 1.23194554379936 0.217969426917805 0.395950166197648
"b0193" 35.9171092053836 -0.0576338599944906 0.318612202161112 -0.180890309923997 0.856453674943065 0.926249560167628
"b0194" 3027.49324097158 0.287322407483329 0.0938335384139427 3.06204383144775 0.00219831259852041 0.0102338011590073
"b0195" 272.063424845547 0.37264700312109 0.145887513835951 2.55434473672729 0.0106387865612252 0.0392484963677631
"b0196" 412.622510184342 0.259601245122391 0.143830681876651 1.80490867271995 0.0710889744356762 0.179511916162705
"b0197" 3959.14563719968 0.117528233661615 0.0898711774988342 1.30774111269588 0.190961133636085 0.361850992938581
"b0198" 678.736989856383 0.18469758482492 0.129070552951287 1.43098158798953 0.152435492064045 0.310063039206376
"b0199" 871.088456428838 0.347672783934393 0.121759865385609 2.8553972430351 0.00429830295226274 0.0181125842155989
"b0200" 276.56155236628 0.339058792791468 0.142389349985022 2.38120893751628 0.0172559214315494 0.0585562103633805
"b0207" 134.963827352093 0.118826793812067 0.179955877034079 0.660310714884649 0.509054455470007 0.706465551491056
"b0208" 128.002059556313 0.274946821440284 0.199762468917294 1.37636875900907 0.168707495036412 0.332714162037753
"b0209" 715.927408887296 0.578914129926829 0.127175879244432 4.55207491677062 5.31194121329688e-06 4.62465588091587e-05
"b0210" 106.501239732539 0.385561527291805 0.204009293553149 1.88992138826929 0.0587684745662292 0.154267245736352
"b0211" 1595.30877666289 -0.839410796329959 0.0970057528661784 -8.65320634630757 5.00723725871673e-18 2.08018052204515e-16
"b0212" 217.421269580713 -0.24007454153068 0.157196689279881 -1.52722390420856 0.126705344148693 0.271146598732534
"b0213" 167.033389021973 0.565142245750796 0.169372916663755 3.33667422680532 0.000847872674176996 0.00447592453135978
"b0214" 126.648109007061 0.120835340797841 0.185394731929163 0.651773324627208 0.514547412448493 0.709963974865755
"b0215" 239.985941689795 0.188342114566199 0.148293716271789 1.27006133031969 0.204062784669652 0.380452664881663
"b0217" 10.7490675083477 -0.58356176219547 0.607128543767502 -0.961183209364874 0.336460057268704 0.533589352232774
"b4586" 5.0180362591494 0.175833782155269 0.88716045857321 0.198198398560342 0.842889840397483 NA
"b0219" 135.05151254138 0.0982295886498561 0.197295503902982 0.497880522904159 0.618568256176749 0.784403476921981
"b0220" 609.712646127908 0.625843633025929 0.119358414584081 5.24339767084506 1.57646256369726e-07 1.79322616620563e-06
"b0221" 208.156155737211 -1.12159845817206 0.156063002746213 -7.18683120557395 6.63123064440149e-13 1.60408629891788e-11
"b0222" 647.483936350306 0.388515441994167 0.114394769383365 3.39626928825876 0.000683111177162173 0.00371387043970672
"b0223" 597.840623020476 0.0320545230397197 0.113995708191006 0.281190612772988 0.778564204244423 0.888597278683352
"b0224" 575.447605145389 -0.117027247732205 0.112462400862988 -1.040589982378 0.298065882474205 0.490614902160383
"b0225" 185.1004965613 0.186370595616649 0.179707560151172 1.03707710159702 0.299699925880079 0.492879998585913
"b0226" 139.847709633779 -0.293281057246553 0.185260220515604 -1.58307626121955 0.113404083551538 0.249671893625563
"b0227" 18.4457172073006 -0.372791596500278 0.468288015099139 -0.796073323425448 0.425989418473716 0.631793386653684
"b0228" 48.4663124591903 0.465561123886658 0.27245132835045 1.70878639757562 0.0874905232730437 0.20860185898289
"b0231" 113.899464306043 0.0470976611353612 0.187710915569761 0.25090528695364 0.801887336743655 0.899402658368142
"b0232" 31.0650310287243 0.365702266100445 0.353393333617087 1.03483068669511 0.300747989191631 0.493753786379044
"b0233" 43.0725838127542 -0.0254034237296344 0.287095556450651 -0.0884842107753104 0.929491833088853 0.965754372722075
"b0234" 29.0658221680068 0.247826012357575 0.362928063605138 0.6828516094782 0.494700614160146 0.69362968780558
"b0237" 3012.28992498999 0.54514811877962 0.106451942374935 5.12107253862547 3.03802745062901e-07 3.27080025811382e-06
"b0238" 223.610877142082 0.0473874092579571 0.188389086135133 0.251540098368362 0.801396564488664 0.899277060914761
"b0239" 344.573422395931 0.703245875980744 0.1285499113648 5.47060568548405 4.48500159342044e-08 5.47657383068783e-07
"b4710" 111.88595627787 -0.0160407924705918 0.200686046832714 -0.0799297844755641 0.936293101021814 0.969166726621418
"b4709" 4.3428053491579 -0.327504698287308 0.869980828053474 -0.37645047767326 0.706582025334477 NA
"b0241" 11.8146682614476 0.146607882037185 0.532429042593529 0.275356658462956 0.783042238960125 0.891241047440619
"b0242" 1189.84385090042 0.162661925724745 0.110950687153703 1.46607407216329 0.142628108389844 0.296659489811454
"b0243" 1185.94083707076 0.16550996772209 0.104374042416599 1.58573878993277 0.112798575969904 0.248768700148282
"b0245" 17.0555042684669 -0.590352800192978 0.439613432609759 -1.342890722625 0.179307360929998 0.346818184956707
"b0246" 10.4735171620126 0.438001428871359 0.570316787233048 0.767996732125611 0.442489126349306 0.647316538625017
"b4504" 2.9725519999959 0.747713204354943 1.09899476462539 0.680361024840562 0.496275893161532 NA
"b0247" 15.3740961836508 0.162209742201343 0.472618309701602 0.343215103756259 0.73143664288316 0.857880553063604
"b0248" 56.2220126634404 0.0530007200881353 0.269684444018094 0.196528651406305 0.8441964093295 0.921434168747016
