"","ctrl1","ctrl2","ctrl3","eth1","eth2","eth3"
"b0814",4445,4399,3916,6408,4544,4786
"b0815",107,164,64,122,85,94
"b4705",98,122,72,167,114,119
"b0817",213,193,210,364,269,310
"b0818",152,182,116,266,177,230
"b0819",1061,909,929,1669,1278,1415
"b0820",805,813,708,1178,793,1019
"b0821",134,131,139,72,49,70
"b0822",170,201,208,300,210,258
"b0823",51,52,44,63,59,67
"b0824",10,13,8,22,9,11
"b0825",59,51,42,77,72,83
"b0826",196,191,166,321,243,287
"b0827",384,425,400,742,505,568
"b0828",840,876,777,2354,1689,1800
"b0829",1426,1493,1137,3523,2496,2772
"b0830",848,972,638,2236,1621,1613
"b0831",276,275,204,662,485,488
"b0832",260,243,145,654,422,449
"b0833",202,212,118,431,303,382
"b0834",104,130,65,210,126,158
"b0835",297,291,219,446,277,369
"b0836",50,37,122,42,49,41
"b0837",57,71,49,131,91,99
"b0838",601,559,589,803,591,768
"b0839",407,399,413,633,418,533
"b0840",254,230,196,453,296,346
"b0841",117,113,111,274,173,226
"b0842",117,92,75,122,82,115
"b0843",55,76,57,69,44,72
"b0844",181,208,181,303,193,249
"b0845",95,94,95,143,99,136
"b0846",25,26,26,48,37,27
"b0847",303,277,245,513,353,457
"b0848",30,25,30,55,29,51
"b0849",30,22,15,72,42,50
"b0850",27,31,31,32,29,43
"b0851",271,290,265,472,370,426
"b0852",176,188,153,267,214,180
"b0853",172,187,175,238,181,236
"b0854",532,570,526,826,586,665
"b0855",265,210,219,375,262,288
"b0856",132,144,101,186,138,148
"b0857",90,120,69,152,108,123
"b0858",43,37,27,84,51,53
"b0859",151,149,115,239,176,187
"b0860",978,1080,598,1445,1023,793
"b0861",204,227,143,308,206,235
"b0862",219,207,171,388,290,276
"b0863",611,675,595,1169,791,862
"b0864",399,289,291,399,303,323
"b0865",412,378,408,501,343,428
"b0866",119,123,121,211,128,167
"b0867",247,238,202,349,219,334
"b0868",294,299,213,395,307,359
"b0869",463,472,399,786,551,616
"b0870",588,502,541,746,487,588
"b0871",765,652,691,605,362,417
"b0872",29,41,31,43,20,41
"b0873",18,12,7,19,10,12
"b0874",105,102,72,201,122,182
"b0875",42,32,27,75,48,59
"b0876",385,348,368,500,377,473
"b0877",713,680,664,981,728,958
"b0878",299,269,269,423,288,389
"b0879",280,286,253,489,347,382
"b0880",537,548,541,1139,815,842
"b0881",448,411,446,653,451,548
"b0882",6833,7204,8129,9025,6330,7940
"b0884",874,875,598,859,640,635
"b0885",146,150,141,418,296,338
"b0886",413,474,404,1276,894,1057
"b0887",391,384,330,1211,873,1003
"b0888",1707,1638,1499,2638,1878,2325
"b0889",2029,2181,1847,2680,1808,2336
"b0890",2036,2339,2034,2953,1986,2340
"b0891",451,587,463,732,470,535
"b0892",389,403,295,478,353,402
"b0893",2549,2645,2373,3770,2736,3477
"b0894",39,43,80,38,33,32
"b0895",10,14,14,14,9,21
"b0896",26,33,27,54,22,44
"b0897",157,133,151,259,207,201
"b0898",123,119,95,330,289,257
"b0899",9,23,14,51,22,21
"b0900",32,50,26,63,52,61
"b0901",17,23,10,33,38,23
"b0902",117,157,133,135,117,171
"b0903",9025,9454,12954,17143,12610,14409
"b0904",307,258,414,418,282,324
"b0905",599,689,477,399,251,327
"b0906",72,58,49,95,53,42
"b0907",6489,6764,6444,11208,7951,9616
"b0908",2867,2994,2375,3508,2304,3101
"b0909",43,49,31,55,16,26
"b0910",770,734,616,892,668,744
"b0911",21909,24865,20238,25374,19609,22608
"b0912",1537,1345,1580,2048,1502,1776
"b0913",45,69,48,103,67,81
"b0914",805,772,661,973,670,799
"b0915",266,248,188,246,188,235
"b0916",81,105,62,132,89,123
"b0917",40,47,30,65,69,50
"b0918",539,526,485,1029,721,914
"b0919",69,80,102,117,59,81
"b0920",59,38,41,96,48,73
"b0921",244,287,270,473,350,392
"b0922",507,546,522,796,594,695
"b0923",445,532,463,785,510,691
"b0924",2304,2713,2359,4016,2818,3472
"b0925",549,624,533,859,558,786
"b0926",1061,1047,988,2059,1430,1761
"b0927",879,914,780,1703,1227,1408
"b0928",4546,4880,4723,11222,7566,9122
"b0929",44630,46104,41170,32110,24611,25552
"b0930",3632,3781,3340,7529,5092,6677
"b0931",1393,1393,1148,2259,1689,1923
"b0932",2403,2526,2443,4234,2952,3562
"b0933",57,66,51,103,66,72
"b0934",7,13,8,16,7,22
"b0935",18,15,18,29,19,25
"b0936",17,18,17,11,6,11
"b0937",8,11,10,26,11,9
"b0938",5,4,5,13,5,4
"b0939",8,10,3,10,13,12
"b0940",49,44,28,69,36,52
"b0941",41,67,39,81,36,34
"b0942",15,18,13,31,11,15
"b0943",22,19,15,12,11,9
"b0944",46,52,44,99,69,87
"b0945",366,334,205,459,401,418
"b0946",145,161,139,319,171,259
"b0947",384,374,327,447,307,394
"b0948",616,645,571,741,580,676
"b0949",594,630,500,712,492,571
"b0950",135,157,82,140,128,145
"b0951",197,241,208,343,241,331
"b0952",82,87,69,156,88,126
"b0953",3156,2506,2533,13641,9302,8914
"b0954",1182,1356,1171,1010,728,847
"b0955",700,740,577,864,682,784
"b0956",109,91,109,122,114,115
"b0957",46866,45064,45522,55861,39259,45001
"b0958",136,144,95,178,119,131
"b0959",66,53,56,98,74,71
"b0960",346,309,299,402,306,366
"b0961",52,58,44,77,70,75
"b0962",463,534,498,960,587,759
"b0963",398,467,394,829,526,645
"b0964",24,16,12,27,11,19
"b0965",202,164,152,307,203,210
"b0966",443,557,487,934,741,773
"b0967",317,336,312,405,300,327
"b0968",53,54,56,71,58,51
"b0969",89,73,59,116,74,102
"b0970",1217,1358,1190,2053,1514,2121
"b0972",16,12,14,16,8,18
"b0973",13,13,5,22,21,18
"b0974",14,13,2,11,5,11
"b0975",11,6,10,30,23,21
"b0976",3,3,10,8,7,9
"b0977",16,11,13,22,17,16
"b0978",42,42,49,102,65,76
"b0979",19,42,39,58,61,56
"b4592",4,11,6,13,12,9
"b0980",63,74,73,165,110,139
"b0981",105,122,86,184,148,168
"b0982",15,11,6,33,12,16
"b0983",37,21,24,38,30,45
"b0984",45,61,37,64,38,69
"b0985",9,5,6,10,9,17
"b0986",13,6,4,14,4,4
"b0987",21,19,16,40,13,13
"b4516",34,34,24,59,20,29
"b0988",114,96,84,192,87,141
"b0989",2,8,4,14,4,5
"b0990",219,1356,91,362,227,188
"b4723",29,287,12,37,21,31
"b0991",0,3,0,2,0,3
"b4517",40,54,50,55,45,46
"b0992",31,38,35,56,29,34
"b0993",66,85,67,112,76,117
"b0994",40,25,28,41,32,52
"b0995",32,52,55,93,78,72
"b0996",6,5,7,12,11,12
"b0997",42,43,38,48,38,56
"b0998",34,38,21,71,49,42
"b0999",99,72,87,152,98,112
"b1000",341,329,368,513,325,451
"b1001",13,26,17,24,6,11
"b1002",192,176,153,450,302,360
"b1003",420,326,396,401,274,347
"b1004",710,542,644,706,483,494
"b4518",41,34,38,44,27,28
"b1006",34,27,37,51,50,50
"b1007",11,11,16,16,15,22
"b1008",14,7,8,11,6,6
"b1009",10,8,8,13,4,12
"b1010",2,2,1,3,1,3
"b1011",4,5,8,15,8,6
"b1012",6,7,6,9,2,8
"b1013",62,61,59,87,71,84
"b1014",446,410,489,793,577,754
"b4737",1,2,2,3,1,0
"b1015",762,771,573,632,456,549
"b1018",1435,1691,1183,2196,1575,1783
"b1019",1066,1215,829,1330,1100,1019
"b1020",758,820,771,500,321,405
"b1021",42,52,27,51,31,33
"b1022",9,18,22,29,10,15
"b1023",24,21,23,30,17,32
"b1024",51,39,32,59,44,60
"b1025",85,104,97,158,93,150
"b1026",69,80,57,171,95,125
"b1027",4,9,1,3,2,8
"b1029",14,19,2,14,6,3
"b1033",662,627,664,1084,771,1012
"b1034",551,533,534,1038,719,820
"b1035",480,489,444,849,583,739
"b1036",230,182,161,224,173,226
"b1037",190,158,189,259,179,265
"b1038",81,69,73,134,75,162
"b1039",106,70,97,235,156,157
"b1040",190,163,220,408,285,342
"b1041",4,3,1,5,2,4
"b1042",36,27,31,66,36,44
"b1043",12,14,2,5,5,8
"b1044",230,331,280,171,134,124
"b1045",254,310,242,280,192,260
"b1046",211,253,173,354,240,266
"b1047",118,110,87,104,80,112
"b1048",1687,1705,1541,3603,2639,3207
"b1049",1535,1614,1232,2886,2154,2488
"b1050",293,220,277,332,254,282
"b1051",372,302,392,500,319,346
"b1053",52,58,36,80,53,76
"b1054",114,151,139,209,135,155
"b1055",389,350,240,823,591,642
"b1056",273,270,255,482,288,360
"b1057",20,27,16,33,20,45
"b1058",6,6,3,15,15,14
"b1059",578,594,552,1320,855,1122
"b1060",152,245,130,184,135,182
"b1061",174,156,143,264,186,206
"b1062",1544,1501,1192,2828,2321,2565
"b1063",168,146,181,307,197,231
"b1064",613,454,495,1477,938,1198
"b1065",51,51,34,153,118,113
"b1066",302,273,332,451,313,380
"b1067",385,369,444,663,461,533
"b1068",331,322,323,661,428,550
"b1069",330,334,237,376,243,269
"b1070",1346,1527,1617,1181,979,874
"b1071",659,726,783,515,450,416
"b1072",1023,1243,1268,1200,964,985
"b1073",1520,2057,2056,1714,1488,1323
"b1074",1389,1985,1654,1597,1429,1320
"b1075",3919,5211,4169,4347,3258,3372
"b1076",7914,10637,9641,8739,6878,6928
"b1077",2310,2821,2456,2406,1993,1903
"b1078",3095,4082,3422,3359,2604,2586
"b1079",976,1346,1044,1110,871,818
"b1080",1086,1422,1060,1090,866,824
"b1081",767,996,763,799,563,553
"b1082",4069,4945,4633,2391,2206,1808
"b1083",3623,4409,4541,2328,2003,1743
"b1084",4063,4297,4008,5902,4192,5203
"b1085",212,267,196,345,245,278
"b1086",263,278,213,384,292,305
"b1087",282,269,227,459,298,348
"b1088",3923,3967,3561,4704,3470,3952
"b1089",3036,3425,2524,3872,2743,3164
"b1090",1652,1790,1388,1934,1374,1649
"b1091",1446,1587,1201,1728,1228,1479
"b1092",1716,2012,1893,2275,1775,1996
"b1093",3056,3244,2816,3788,2591,3026
"b1094",5058,5539,4741,6929,5147,6003
"b1095",3017,3371,2648,4127,3047,3594
"b1096",123,95,100,184,113,132
"b1097",120,130,113,193,152,167
"b1098",191,214,177,358,256,256
"b1099",177,201,153,346,204,290
"b1100",336,423,225,560,338,409
"b1101",6080,7732,7019,14530,11035,12607
"b1102",2723,2747,2496,4508,3210,3332
"b1103",300,276,324,447,376,497
"b1104",285,282,309,495,311,399
"b1105",697,688,686,1148,760,1004
"b1106",169,168,170,279,210,320
"b1107",341,344,289,525,362,475
"b1108",467,440,454,611,428,563
"b1109",609,1027,601,1283,983,827
"b1110",116,105,71,107,83,66
"b1111",473,463,384,355,254,282
"b1112",23,34,14,107,70,85
"b1113",94,126,88,99,71,95
"b1114",1192,1326,1168,2270,1705,2029
"b1115",20,22,9,19,22,13
"b1116",432,494,363,871,531,737
"b1117",201,222,203,438,248,310
"b1118",446,536,422,875,571,677
"b1119",367,379,318,665,505,606
"b1120",357,382,390,627,451,594
"b1121",31,19,11,34,24,24
"b1122",20,28,10,32,25,29
"b1123",1776,1898,1915,3585,2586,3271
"b1124",266,331,214,304,236,324
"b1125",399,427,308,514,320,427
"b1126",682,695,508,768,552,754
"b1127",358,317,452,689,447,563
"b1128",585,679,542,1391,953,1134
"b1129",583,581,495,1008,665,885
"b1130",588,606,568,1110,720,1037
"b1131",1811,1912,1480,3848,2867,3601
"b1132",475,455,388,839,532,750
"b1133",871,908,688,1585,1121,1309
"b1134",89,99,98,202,140,153
"b1135",133,108,80,213,163,177
"b1136",24303,24829,22270,32914,22920,29719
"b1137",23,38,27,101,61,115
"b1138",5,16,15,116,70,87
"b1139",55,80,50,229,143,208
"b1140",30,43,42,63,41,45
"b1141",7,4,9,7,5,6
"b1142",5,6,1,11,3,3
"b1143",90,82,103,170,119,151
"b1144",25,32,13,28,23,32
"b1145",203,191,167,280,203,236
"b1146",6,2,0,9,6,4
"b1147",10,18,12,32,17,16
"b1148",8,12,2,8,8,4
"b1149",17,20,13,31,27,17
"b1150",0,0,0,1,0,1
"b1151",5,8,3,10,2,3
"b1153",1,6,5,3,4,2
"b1154",3,4,3,6,1,5
"b1155",2,12,4,14,4,9
"b1156",12,18,7,24,13,7
"b1158",3,5,2,3,4,8
"b1159",50,42,38,74,45,56
"b1160",6,12,7,15,7,11
"b4738",1,1,0,0,0,0
"b4739",6,1,1,0,0,4
"b1161",16,19,8,26,10,10
"b1162",384,378,359,788,551,625
"b1163",209,324,127,338,209,264
"b1164",11,13,14,28,13,26
"b1165",9,10,13,31,15,24
"b1166",14,10,5,17,8,13
"b1167",6,8,5,13,8,7
"b1168",21,17,22,25,24,27
"b4520",3,5,2,1,0,5
"b1171",27,45,31,97,78,106
"b1172",36,32,30,139,67,157
"b4593",4,2,4,4,5,3
"b4594",3,2,3,5,3,5
"b1174",447,451,473,766,596,772
"b1175",1233,1308,1255,2497,1738,2097
"b1176",962,808,736,1491,1021,1308
"b1177",118,103,93,216,154,208
"b1178",89,104,111,167,171,144
"b1179",129,154,153,252,163,220
"b1180",263,267,284,445,297,340
"b1181",171,126,128,222,180,203
"b1182",20,14,4,20,4,21
"b1183",13,9,15,26,15,12
"b1184",53,59,41,92,76,81
"b1185",314,280,228,372,274,313
"b1186",653,638,565,905,656,747
"b1187",280,341,243,526,361,445
"b1188",372,342,360,252,167,184
"b1189",272,278,285,1012,731,856
"b1190",234,192,218,638,503,607
"b4740",33,19,9,31,28,30
"b1191",313,392,263,592,459,455
"b1192",187,191,170,384,254,314
"b1193",473,447,551,508,440,465
"b1194",2282,2242,2720,1984,1710,1512
"b1195",18,37,39,18,14,11
"b1196",14,4,6,5,2,6
"b1197",60,60,54,92,62,63
"b1198",501,587,498,1180,782,1108
"b1199",195,222,151,443,301,363
"b1200",417,550,407,983,660,858
"b1201",136,145,134,197,134,168
"b1202",104,90,79,227,113,155
"b1203",837,864,684,1084,860,1023
"b1204",109,123,104,201,151,153
"b1205",77,93,57,158,132,135
"b1206",133,145,79,267,174,222
"b1207",3733,3793,2978,8000,6011,7312
"b1208",495,496,436,935,672,820
"b1209",336,280,275,646,431,528
"b1210",413,438,400,502,355,456
"b1211",340,377,334,289,215,242
"b1212",100,109,92,88,62,87
"b1213",30,40,24,24,18,27
"b1214",470,491,360,727,493,593
"b1215",990,1031,889,1805,1284,1583
"b4419",114,147,68,187,100,178
"b4421",6,11,3,6,4,10
"b4423",8,15,3,18,12,21
"b1216",322,340,264,667,474,579
"b1217",16,21,13,23,23,27
"b1218",153,126,106,248,151,207
"b1219",215,243,216,414,278,350
"b1220",128,158,127,323,172,252
"b1221",292,281,250,404,293,396
"b1222",208,191,188,290,223,229
"b1223",12,10,18,20,14,7
"b1224",48,68,114,94,65,67
"b1225",37,41,41,47,46,53
"b1226",18,18,22,28,19,19
"b1227",14,18,34,20,15,13
"b1228",12,6,5,19,4,9
"b1229",3,7,2,3,3,1
"b1232",1073,1013,900,2404,1610,2073
"b1233",228,206,190,382,284,323
"b1234",365,346,290,481,314,398
"b1235",258,258,244,324,211,268
"b1236",857,875,884,1203,862,1104
"b1237",2937,2730,2747,4599,2820,3865
"b1238",168,145,119,242,137,169
"b1241",8237,8799,10081,9303,6462,7244
"b1242",42,61,34,78,51,60
"b4711",2011,2222,1739,4256,2864,3505
"b1243",29039,26527,27810,36939,27665,35000
"b1244",2200,2037,1746,2386,1825,2704
"b1245",1612,1505,1401,1656,1285,1876
"b1246",2022,1835,1668,2176,1647,2307
"b1247",2221,1944,1737,2093,1580,2484
"b1248",236,287,275,386,238,327
"b1249",534,594,580,915,624,780
"b4595",71,53,59,124,83,108
"b1250",125,138,120,203,163,190
"b1251",231,236,304,362,228,315
"b1252",1136,1062,1152,2624,1836,2064
"b1253",82,78,77,172,97,125
"b1254",191,177,138,316,237,271
"b1255",155,182,146,331,238,258
"b1256",88,71,255,50,39,52
"b1257",58,47,52,53,39,35
"b1258",39,20,31,25,21,16
"b1259",11,13,16,9,7,9
"b1260",1680,2157,1662,1537,1338,1497
"b1261",2333,3085,2327,2276,1995,2099
"b1262",1575,1980,1424,1371,1155,1241
"b1263",1447,1895,1280,1157,1049,1087
"b1264",1407,2161,1288,1241,1146,1135
"b1265",2,8,11,1,6,6
"b1266",195,220,164,331,226,258
"b1267",191,279,244,406,309,375
"b1268",110,126,109,191,115,133
"b1269",441,488,319,463,391,430
"b1270",205,151,166,317,227,274
"b1271",216,228,272,369,255,321
"b1272",628,665,704,1040,742,881
"b1273",114,111,90,172,98,106
"b1274",2046,2256,1893,2544,1948,2302
"b1275",618,574,507,848,620,653
"b4522",7,8,6,9,5,12
"b4523",52,61,57,133,95,109
"b4741",9,15,6,31,20,21
"b1276",1413,1336,1270,794,554,895
"b1277",311,402,317,452,305,372
"b1278",148,119,120,187,146,184
"b1279",124,134,117,232,159,207
"b1280",307,329,288,548,415,507
"b1281",275,277,181,449,342,398
"b1282",149,157,141,268,199,239
"b1283",89,60,35,123,72,129
"b1284",431,418,458,881,584,678
"b4596",45,47,57,94,42,48
"b1285",236,208,228,232,144,209
"b4672",0,8,0,6,3,8
"b1286",2606,2720,1950,3963,3017,3461
"b1287",477,374,240,974,703,708
"b1288",3099,3159,2888,4802,3438,4295
"b1289",16,15,8,24,11,16
"b1290",115,163,142,238,201,222
"b1291",210,268,157,309,249,286
"b1292",99,85,72,102,76,83
"b1293",99,90,88,156,108,105
"b1294",347,339,289,497,316,402
"b1295",79,58,48,87,58,69
"b1296",138,137,110,43,22,23
"b4742",45,35,21,2,4,7
"b1297",692,605,436,48,29,47
"b1298",216,214,161,35,18,38
"b1299",211,216,155,111,72,89
"b1300",392,326,259,26,26,32
"b1301",250,193,170,17,11,20
"b1302",236,204,145,44,34,28
"b1303",119,104,94,111,92,104
"b1304",212,218,202,725,454,610
"b1305",19,24,19,63,41,56
"b1306",39,31,43,75,77,72
"b1307",25,39,23,90,65,76
"b1308",69,68,84,282,213,200
"b1309",10,11,8,9,8,5
"b1310",1,6,3,8,3,3
"b1311",1,5,3,8,2,1
"b1312",5,5,7,7,5,7
"b1313",14,29,11,26,14,20
"b1314",11,24,6,27,12,14
"b1315",26,19,19,37,19,28
"b1316",31,33,26,48,28,32
"b1317",2,1,3,2,2,7
"b1319",6,12,4,13,6,3
"b1320",44,55,44,115,86,108
"b1321",124,186,140,319,263,301
"b1322",110,124,126,271,192,182
"b1323",572,657,520,960,680,851
"b1324",3712,3606,3089,8833,5665,6686
"b1325",209,165,202,286,226,250
"b1326",187,172,160,367,251,252
"b4525",10,19,7,19,9,15
"b4673",1,1,0,2,1,1
"b1327",27,25,23,41,28,45
"b1328",64,66,78,94,87,92
"b1329",256,231,249,370,243,330
"b1330",101,92,92,306,194,228
"b1331",2336,2814,2307,4923,3576,4163
"b1332",469,442,438,517,330,460
"b1333",883,993,1061,1786,1234,1461
"b1334",1888,1963,1638,2774,2085,2554
"b1335",73,68,62,113,83,86
"b1336",23,26,21,31,24,25
"b1337",53,49,50,80,62,66
"b1338",29,32,28,43,33,28
"b1339",36,26,27,58,38,62
"b1340",82,80,89,132,110,116
"b1341",201,222,155,251,182,203
"b1342",170,203,213,399,301,373
"b4743",10,17,9,5,5,5
"b1343",134,129,76,203,117,135
"b1344",355,370,287,413,269,305
"b1345",91,68,52,45,41,42
"b1346",0,5,2,0,2,3
"b1347",5,5,0,8,6,7
"b1348",1,2,1,9,1,3
"b1349",22,33,32,52,25,32
"b1350",40,42,43,75,56,68
"b1351",1,1,0,3,1,5
"b4526",0,2,0,0,2,0
"b1352",0,3,0,2,1,0
"b1353",3,12,10,11,6,12
"b4527",2,1,0,4,1,4
"b1355",5,3,2,0,0,5
"b1356",257,304,229,454,276,334
"b1357",12,8,9,10,7,5
"b1358",9,11,6,5,7,11
"b1359",18,20,13,45,19,33
"b1360",8,14,14,12,11,18
"b1361",19,13,10,28,13,18
"b4528",34,35,22,40,16,43
"b1363",87,127,75,198,142,142
"b1365",7,7,2,9,7,9
"b1366",17,11,7,15,10,15
"b1368",24,14,30,37,19,38
"b1370",39,54,58,101,80,81
"b1372",32,49,41,65,41,48
"b1373",11,13,8,32,15,23
"b1374",6,14,5,13,10,7
"b1375",12,9,1,11,3,13
"b4744",20,35,13,31,14,21
"b1376",145,166,241,191,151,162
"b1377",9,11,10,19,6,15
"b1378",681,637,540,559,379,557
"b4529",80,77,80,196,119,144
"b1379",119,111,122,252,171,188
"b1380",256,263,306,630,499,534
"b1381",203,197,167,321,204,270
"b1382",24,21,25,33,22,27
"b1383",83,91,40,152,83,128
"b1384",45,26,33,41,49,56
"b1385",91,97,93,168,119,139
"b1386",27,38,27,75,58,67
"b1387",6,9,10,18,8,15
"b1388",8,11,3,9,7,7
"b1389",0,2,1,4,0,2
"b1390",3,13,3,7,3,3
"b1391",13,7,13,11,10,9
"b1392",16,15,11,21,16,10
"b1393",7,15,6,16,9,11
"b1394",7,7,18,14,3,11
"b1395",15,28,24,39,18,17
"b1396",10,2,2,11,4,8
"b1397",40,59,40,70,51,61
"b1398",70,75,60,84,64,66
"b1399",73,107,80,111,68,90
"b1400",113,86,101,103,78,88
"b4674",0,2,0,1,0,0
"b1402",10,12,8,30,17,16
"b1403",0,0,0,4,1,0
"b1404",186,222,166,405,269,368
"b1406",53,64,69,102,57,74
"b1407",24,27,17,36,17,26
"b1408",1,2,4,6,1,2
"b1409",6,13,2,11,3,2
"b1410",41,22,21,51,50,50
"b1411",29,63,20,82,76,77
"b1412",144,170,158,404,310,398
"b1413",811,935,763,1231,904,1118
"b1414",229,228,210,363,320,353
"b1415",1629,1900,1542,2668,1515,2955
"b1418",209,239,219,403,277,369
"b1419",44,30,38,64,39,60
"b4428",24,18,17,31,15,25
"b1420",16,11,14,12,6,7
"b1421",435,529,482,436,347,347
"b1422",506,532,400,325,196,312
"b1423",48,40,34,55,39,35
"b1424",492,533,425,905,613,695
"b1426",35,29,15,89,49,74
"b1427",58,76,56,111,85,117
"b1428",71,69,66,114,56,89
"b1429",58,75,66,142,99,111
"b1430",224,189,186,428,285,313
"b1431",379,360,390,338,245,279
"b1432",185,189,174,420,323,344
"b1433",36,36,22,40,22,23
"b1434",43,16,33,54,23,30
"b1435",462,436,379,377,265,336
"b1436",16,22,10,17,10,9
"b4532",7,12,6,19,13,21
"b1438",100,63,84,151,98,143
"b1439",180,167,147,273,196,231
"b1440",56,43,34,71,36,54
"b1441",20,21,16,22,15,8
"b1442",15,24,22,40,25,28
"b1443",21,24,22,25,17,16
"b1444",164,140,161,305,181,206
"b4598",38,24,23,37,22,41
"b1445",36,33,13,35,29,39
"b1446",189,153,222,255,180,206
"b1447",159,113,131,266,158,230
"b1448",147,213,200,336,190,234
"b1449",155,131,121,137,103,107
"b1450",27,49,21,38,11,26
"b1451",164,155,113,201,144,174
"b1452",6487,6921,6084,22915,16314,16785
"b1453",89,66,31,100,73,81
"b1454",23,18,17,34,23,25
"b1455",2,4,0,4,1,0
"b1457",3,15,4,19,16,7
"b4745",9,15,4,14,11,14
"b1460",7,36,6,14,12,17
"b1461",18,28,21,60,49,30
"b1462",26,26,19,55,46,47
"b1463",63,49,54,117,61,105
"b1464",172,189,149,395,279,309
"b1465",9,14,10,26,19,17
"b1466",8,6,11,16,10,12
"b1467",36,35,31,44,37,29
"b1468",86,80,61,109,73,93
"b1469",13,14,15,13,6,11
"b1471",1,9,1,7,2,1
"b1472",0,2,1,0,0,0
"b1473",64,60,46,98,66,74
"b1474",39,36,35,46,19,33
"b1475",8,3,7,18,7,9
"b1476",24,31,18,30,18,22
"b1477",74,74,61,111,60,68
"b1478",293,221,206,299,207,239
"b1479",1363,1524,1311,3217,2133,2957
"b1480",472,353,394,744,461,536
"b1481",14,21,29,13,17,16
"b1482",626,483,551,720,548,507
"b1483",126,121,128,159,100,126
"b1484",12,17,16,26,18,31
"b1485",16,17,9,27,15,18
"b1486",13,11,7,20,11,8
"b1487",36,25,21,42,26,41
"b1488",7,8,9,18,6,6
"b1489",278,285,251,442,344,335
"b1490",307,355,271,524,347,374
"b4746",3,1,4,0,2,3
"b1491",142,119,127,246,195,232
"b1492",240,189,188,351,234,213
"b1493",250,230,249,459,359,297
"b1494",651,757,622,959,627,697
"b1495",574,679,541,1121,788,850
"b1496",180,143,148,284,174,206
"b4747",0,0,1,5,1,4
"b1497",9,8,7,7,9,11
"b1498",43,51,71,68,55,60
"b1499",4,6,7,11,6,9
"b1500",0,2,0,2,0,2
"b1501",55,54,42,166,102,126
"b1502",7,8,1,13,3,5
"b1503",1,5,5,12,9,1
"b1504",5,7,4,17,3,9
"b1505",8,13,6,24,8,15
"b1507",159,195,189,260,206,242
"b1508",26,23,30,36,29,33
"b1511",91,63,62,167,120,116
"b1512",85,95,63,125,108,129
"b1513",14,16,11,30,17,23
"b1514",2,9,8,32,13,13
"b1515",12,17,12,25,14,14
"b1516",27,22,21,67,35,48
"b1517",36,40,36,79,39,50
"b1518",16,18,15,23,33,29
"b1519",87,91,89,146,98,102
"b1520",111,78,92,180,134,170
"b1521",23,26,29,62,24,38
"b1522",44,44,33,80,57,52
"b1523",89,89,82,146,131,148
"b1524",141,148,138,294,259,266
"b1525",193,175,185,822,564,749
"b1526",63,60,70,107,67,86
"b1527",8,12,15,26,15,24
"b1528",145,147,137,272,166,204
"b1529",64,75,71,93,75,101
"b1530",24,32,16,45,37,54
"b1531",76,99,67,172,142,154
"b1532",46,50,24,67,63,85
"b1533",295,304,275,502,274,406
"b1534",62,61,57,138,76,119
"b4599",95,84,72,99,81,87
"b1535",45,33,33,81,36,65
"b1536",13,13,16,10,7,12
"b1537",49,35,38,100,70,64
"b1538",1056,1147,1057,2206,1474,1799
"b1539",703,658,751,963,672,850
"b1540",286,282,231,408,303,340
"b1541",60,36,128,29,13,11
"b1542",35,31,27,91,40,67
"b1543",9,8,7,18,13,7
"b4748",32,65,24,41,24,32
"b1544",35,99,27,57,23,36
"b1545",23,32,26,45,18,36
"b1546",4,3,7,7,4,5
"b1547",8,6,17,15,11,10
"b1548",3,3,5,4,4,0
"b4533",2,1,2,6,0,2
"b1549",5,6,2,2,5,3
"b1550",260,295,192,418,302,282
"b1551",2,2,0,0,1,0
"b4749",1,1,0,1,1,0
"b4724",3,14,1,2,7,6
"b1552",7,23,3,12,12,19
"b1553",1,4,0,2,3,1
"b4689",0,0,0,0,0,0
"b1554",3,3,4,9,3,3
"b1555",7,7,7,5,4,8
"b1556",1,1,0,2,0,1
"b1557",107,676,55,143,105,110
"b1558",43,47,33,40,24,54
"b4750",12,16,10,19,9,12
"b1559",27,28,20,46,34,40
"b1560",7,14,4,7,7,9
"b1561",9,9,7,19,3,6
"b1562",104,106,108,142,114,145
"b1563",132,170,133,332,196,231
"b1564",45,62,42,83,58,59
"b1565",23,6,20,22,15,18
"b1566",632,694,855,296,279,276
"b1567",7,6,8,14,8,5
"b1568",7,9,8,6,4,7
"b1569",1,2,0,1,1,2
"b1570",218,199,197,345,228,219
"b1571",3,5,0,3,0,0
"b1572",3,4,2,7,3,6
"b1573",16,15,9,12,14,15
"b1575",4,0,1,2,0,1
"b1576",0,0,2,2,0,1
"b4534",3,0,1,1,1,3
"b1580",20,21,13,37,28,17
"b1581",16,11,15,46,21,33
"b1582",18,25,28,46,31,40
"b1583",318,328,299,712,457,593
"b1584",352,388,327,837,576,790
"b1585",146,157,170,325,221,280
"b1586",36,48,47,71,20,54
"b1587",64,74,114,104,63,82
"b1588",50,57,57,69,44,61
"b1589",11,11,21,20,12,13
"b1590",27,35,36,74,32,39
"b1591",121,111,97,168,108,144
"b1592",28,26,31,36,38,48
"b1593",41,58,105,100,62,99
"b1594",292,305,231,695,447,552
"b1595",45,47,35,81,46,55
"b1596",126,216,67,278,237,221
"b1597",35,71,20,2748,1477,2024
"b4601",4,6,0,76,45,61
