"","ctrl1","ctrl2","ctrl3","eth1","eth2","eth3"
"b3593",78,65,55,89,71,105
"b3594",24,32,11,79,64,71
"b3596",6,10,5,7,3,7
"b4615",3,4,3,2,0,3
"b3597",34,33,27,59,35,40
"b3598",12,6,13,11,9,12
"b3599",504,538,610,933,626,716
"b3600",349,328,301,681,446,531
"b3601",233,265,220,405,268,356
"b4554",104,135,128,262,175,208
"b3602",160,145,152,126,109,109
"b3603",117,134,96,128,102,133
"b3604",80,73,67,67,49,74
"b3605",174,192,168,214,176,218
"b3606",154,157,111,210,134,190
"b3607",563,620,437,744,522,766
"b3608",1410,1584,1226,2239,1516,1941
"b3609",1366,1479,1345,1912,1429,1633
"b3610",756,737,673,977,700,840
"b3611",402,453,381,510,397,452
"b3612",1998,1821,2077,1768,1223,1389
"b3613",709,769,636,772,524,658
"b3614",264,251,195,351,250,270
"b3615",41,41,26,36,24,32
"b3616",205,240,207,368,267,321
"b3617",141,144,166,286,190,219
"b3618",197,234,159,408,266,309
"b3619",1033,1106,1062,1678,1201,1448
"b3620",730,810,729,1012,686,858
"b3621",426,462,339,441,337,422
"b3622",387,428,301,466,300,425
"b3623",190,248,162,333,207,243
"b3624",114,145,82,157,107,113
"b3625",108,143,87,164,98,147
"b3626",180,173,138,240,134,189
"b3627",233,239,188,261,175,214
"b3628",211,270,210,272,175,251
"b3629",93,148,78,145,130,134
"b3630",214,207,165,289,183,240
"b3631",303,318,299,406,263,336
"b3632",247,283,233,326,250,283
"b3633",235,230,190,355,241,321
"b3634",70,65,64,126,85,89
"b3635",87,90,94,167,153,188
"b3636",2142,2572,2072,2635,1998,2327
"b3637",4184,3955,3032,4265,3170,3723
"b3638",22,28,21,30,12,22
"b3639",531,500,516,998,638,797
"b3640",451,462,487,726,506,622
"b3641",419,462,439,588,380,490
"b3642",41,47,29,39,34,44
"b3643",228,222,179,315,241,300
"b3644",480,465,445,845,570,737
"b3645",24,53,16,34,15,41
"b3646",15,24,8,18,18,18
"b3647",33,56,30,55,30,40
"b3648",691,697,636,1121,824,936
"b3649",559,508,523,726,510,613
"b3650",2229,2228,2129,2773,1963,2330
"b3651",231,262,194,246,176,279
"b3652",568,632,441,685,548,598
"b3653",68,90,66,159,121,151
"b3654",879,748,607,1429,1071,1274
"b3655",423,462,548,775,539,683
"b3656",88,104,93,179,92,135
"b3657",14,32,20,29,17,25
"b3659",12,16,6,18,7,5
"b3660",215,222,149,310,242,267
"b3661",777,740,648,1083,807,914
"b4555",17,30,19,27,20,20
"b3662",110,115,89,93,87,74
"b3663",36,47,32,73,47,49
"b3664",8,18,5,25,5,18
"b3665",67,88,71,101,66,91
"b3666",437,387,482,476,445,305
"b3667",55,71,52,103,54,76
"b3668",109,120,92,190,141,175
"b3669",176,188,147,309,225,297
"b3670",182,216,163,536,388,578
"b3671",1260,1288,1453,3746,2375,3567
"b3672",307,276,292,473,330,408
"b4618",132,178,126,265,166,242
"b3673",15,22,3,14,15,15
"b3674",19,23,17,42,22,35
"b3675",14,16,23,48,27,32
"b3676",28,23,11,46,21,22
"b3677",24,21,14,43,16,25
"b3678",15,19,9,47,18,22
"b3679",8,17,9,21,15,11
"b3680",19,29,18,39,23,33
"b3681",17,12,11,21,13,19
"b3682",6,5,6,16,6,2
